COBERTURA,ID_ENTIDAD,ID_MUNICIPIO,ANIO,MES,ID_HORA,ID_MINUTO,ID_DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,MOTOCICLET,BICICLETA,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,ID_EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,NEMUERTO,NEHERIDO,CLASACC,ESTATUS
Municipal,2,4,2020,1,9,15,14,Martes,Accidente en no intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,25,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,2,4,2020,2,14,34,11,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,26,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,2,5,2020,6,17,38,14,Domingo,Accidente en intersección,Sin accidente en esta zona,Otro,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,38,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,3,3,2020,2,21,55,14,Viernes,Accidente en intersección,Sin accidente en esta zona,Otro,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,16,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,4,1,2020,1,11,11,18,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,No,No,26,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,4,3,2020,2,19,7,15,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,25,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,4,3,2020,4,17,20,5,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,83,0,2,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,4,3,2020,5,10,30,23,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,38,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,4,4,2020,10,15,30,19,lunes,Accidente en intersección,Sin accidente en esta zona,Otro,1,1,Conductor,Pavimentada,Hombre,Sí,Se ignora,40,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,17,2020,1,20,0,28,Martes,Accidente en intersección,Sin accidente en esta zona,Otro,1,1,Conductor,Pavimentada,Se fugó,Se ignora,Se ignora,0,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,24,2020,8,17,10,14,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,28,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,5,24,2020,8,0,43,16,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,1,1,Conductor,Pavimentada,Hombre,Sí,No,28,0,2,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,24,2020,10,18,39,19,lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,25,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,5,25,2020,4,17,50,17,Viernes,Accidente en intersección,Sin accidente en esta zona,Otro,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,19,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,25,2020,5,16,4,24,Domingo,Accidente en intersección,Sin accidente en esta zona,Otro,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,51,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,5,33,2020,6,20,0,11,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,13,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,1,7,56,27,lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,No,No,46,0,1,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,3,10,15,8,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,Sí,No,51,0,2,0,1,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,4,6,35,6,lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,18,0,1,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,5,14,3,1,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,No,No,86,0,0,0,0,0,0,0,2,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,5,21,50,28,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,Sí,No,31,0,2,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,6,8,0,6,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,40,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,6,13,40,15,lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,18,0,1,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,7,13,30,25,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,Sí,No,52,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,8,23,30,1,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,29,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,8,20,30,4,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,66,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,8,15,3,28,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,18,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,9,14,7,7,lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,34,0,1,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,9,17,55,25,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,Sí,No,64,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,5,35,2020,10,20,15,18,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,37,0,1,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,10,16,25,24,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,Sí,No,70,0,1,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,5,35,2020,10,8,32,25,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,18,0,0,0,1,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,2,2020,1,8,40,10,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,66,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,1,21,16,16,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,17,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,2,8,5,11,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,18,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,2,2020,2,11,3,17,lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,23,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,2,5,53,29,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,28,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,2,2020,3,14,50,24,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,39,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,4,21,2,3,Viernes,Accidente en no intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,29,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,4,11,5,20,lunes,Accidente en no intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,31,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,4,20,36,24,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,63,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,5,15,33,3,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,22,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,5,10,20,8,Viernes,Accidente en no intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,No,Sí,30,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,7,18,50,3,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Peatón o pasajero,Pavimentada,Hombre,No,Sí,72,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,7,14,51,7,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Peatón o pasajero,Pavimentada,Hombre,No,Sí,19,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,7,12,17,10,Viernes,Accidente en no intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Peatón o pasajero,Pavimentada,Hombre,No,Sí,26,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,7,13,9,13,lunes,Accidente en no intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,27,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,7,10,0,19,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Mala condición del camino,Pavimentada,Hombre,No,No,26,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,7,19,30,21,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Mala condición del camino,Pavimentada,Hombre,No,Sí,31,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,11,21,20,4,Miercoles,Accidente en no intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Se fugó,Se ignora,Se ignora,0,0,1,0,1,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,2,2020,11,19,0,6,Viernes,Accidente en no intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,48,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,11,13,40,7,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,38,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,11,11,3,9,lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,55,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,2,2020,11,9,5,10,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,52,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,11,18,45,10,Martes,Accidente en no intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,No Pavimentada,Hombre,No,Sí,17,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,11,19,35,14,Sabado,Accidente en no intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,19,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,11,11,15,18,Miercoles,Accidente en no intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,No Pavimentada,Hombre,No,Sí,38,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,11,12,45,20,Viernes,Accidente en no intersección,Sin accidente en esta zona,Colisión con motocicleta,1,2,Conductor,Pavimentada,Hombre,No,Sí,99,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,11,9,48,21,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,No Pavimentada,Hombre,No,Sí,22,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,2,2020,11,9,41,24,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Mujer,No,Sí,50,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,2,2020,11,10,38,24,Martes,Accidente en no intersección,Sin accidente en esta zona,Colisión con motocicleta,1,2,Conductor,Pavimentada,Hombre,No,Sí,58,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,2,2020,11,13,49,24,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,76,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,2,2020,11,16,16,27,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,56,0,1,0,1,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,4,2020,2,7,50,17,lunes,Sin accidente en esta zona,Accidente en carretera estatal,Otro,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,25,0,2,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,7,2020,2,13,20,11,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,20,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,7,2020,2,8,20,18,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,69,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,7,2020,5,12,30,23,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,No Pavimentada,Hombre,Se ignora,Se ignora,21,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,7,2020,10,20,32,2,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,24,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,7,2020,10,9,30,10,Sabado,Accidente en intersección,Sin accidente en esta zona,Caída de pasajero,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,18,0,0,0,1,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,7,2020,10,6,50,18,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,26,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,7,2020,10,22,0,24,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,30,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,7,2020,11,19,50,24,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,31,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,9,2020,5,20,15,1,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,36,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,10,2020,4,8,30,25,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,72,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,10,2020,5,16,40,26,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,2,Conductor,Pavimentada,Hombre,No,Sí,99,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,10,2020,7,21,5,28,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,No,Sí,32,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,10,2020,8,10,50,8,Sabado,Accidente en no intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,No,Sí,65,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,10,2020,8,21,51,28,Viernes,Accidente en no intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Mujer,No,Sí,21,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,10,2020,11,13,48,1,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Peatón o pasajero,Pavimentada,Se fugó,Se ignora,Se ignora,0,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,6,10,2020,11,22,5,1,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Sí,36,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,6,10,2020,11,19,0,3,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,Sí,No,53,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,7,19,2020,8,13,0,29,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Se fugó,Se ignora,Se ignora,0,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,7,107,2020,3,18,30,13,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,Sí,Se ignora,72,0,1,0,1,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,8,19,2020,1,13,15,11,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,99,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,8,19,2020,1,21,30,20,lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,35,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,8,19,2020,2,10,30,6,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Otra,Pavimentada,Hombre,No,Se ignora,99,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,8,19,2020,2,19,0,14,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Otra,Pavimentada,Hombre,No,Se ignora,39,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,8,19,2020,2,16,0,20,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Otra,Pavimentada,Hombre,No,Se ignora,52,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,8,19,2020,5,0,21,19,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,23,0,2,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,8,19,2020,9,7,32,10,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,32,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,8,19,2020,9,9,3,17,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Mujer,No,Se ignora,62,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,8,19,2020,9,11,3,19,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,35,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,8,19,2020,9,18,27,29,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,18,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,8,19,2020,10,21,6,18,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,Se ignora,30,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,8,21,2020,2,20,30,23,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Se fugó,Se ignora,Se ignora,0,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
